2026-04-10 17:07:28 | GET | meus-planos-api/itens
2026-04-10 17:07:30 | GET | meus-planos-api/categorias
2026-04-10 17:07:30 | GET | meus-planos-api/itens
2026-04-10 17:07:30 | GET | meus-planos-api/itens
2026-04-10 17:07:30 | GET | meus-planos-api/categorias
2026-04-10 17:07:30 | GET | meus-planos-api/itens
2026-04-10 17:07:59 | GET | meus-planos-api/itens
rias
2026-04-10 17:07:59 | GET | meus-planos-api/itens
2026-04-10 17:08:06 | OPTIONS | meus-planos-api/itens/3
2026-04-10 17:08:06 | DELETE | meus-planos-api/itens/3
2026-04-10 17:08:06 | GET | meus-planos-api/itens
2026-04-10 17:09:25 | GET | meus-planos-api/itens
2026-04-10 17:09:25 | GET | meus-planos-api/categorias
2026-04-10 17:09:25 | GET | meus-planos-api/itens
2026-04-10 17:10:26 | GET | meus-planos-api/itens
rias
2026-04-10 17:10:26 | GET | meus-planos-api/itens
2026-04-10 17:10:34 | GET | meus-planos-api/categorias
2026-04-10 17:10:34 | GET | meus-planos-api/itens
2026-04-10 17:10:49 | GET | meus-planos-api/categorias
2026-04-10 17:10:57 | POST | meus-planos-api/categorias
2026-04-10 17:10:57 | GET | meus-planos-api/categorias
2026-04-10 17:11:00 | GET | meus-planos-api/itens
rias
2026-04-10 17:11:00 | GET | meus-planos-api/itens
2026-04-10 17:13:16 | GET | meus-planos-api/categorias
2026-04-10 17:13:16 | GET | meus-planos-api/itens
2026-04-10 17:17:29 | GET | meus-planos-api/categorias
2026-04-10 17:17:35 | OPTIONS | meus-planos-api/categorias/5
2026-04-10 17:17:35 | DELETE | meus-planos-api/categorias/5
2026-04-10 17:17:35 | GET | meus-planos-api/categorias
2026-04-10 17:18:19 | GET | meus-planos-api/itens
2026-04-10 17:18:19 | GET | meus-planos-api/categorias
2026-04-10 17:18:19 | GET | meus-planos-api/itens
2026-04-10 17:18:23 | GET | meus-planos-api/categorias
2026-04-10 17:18:24 | GET | meus-planos-api/categorias
2026-04-10 17:18:24 | GET | meus-planos-api/categorias
2026-04-10 17:18:24 | GET | meus-planos-api/itens
2026-04-10 17:18:27 | GET | meus-planos-api/categorias
2026-04-10 17:18:28 | GET | meus-planos-api/itens
rias
2026-04-10 17:18:28 | GET | meus-planos-api/itens
2026-04-10 17:24:04 | GET | meus-planos-api/itens
2026-04-10 17:24:04 | GET | meus-planos-api/categorias
2026-04-10 17:24:04 | GET | meus-planos-api/itens
2026-04-10 17:24:06 | GET | meus-planos-api/itens
2026-04-10 17:24:06 | GET | meus-planos-api/categorias
2026-04-10 17:24:06 | GET | meus-planos-api/itens
2026-04-10 17:24:12 | GET | meus-planos-api/categorias
2026-04-10 17:24:12 | GET | meus-planos-api/itens
2026-04-10 17:24:12 | GET | meus-planos-api/itens
2026-04-10 17:29:25 | GET | meus-planos-api/categorias
2026-04-10 17:29:25 | GET | meus-planos-api/itens
2026-04-10 17:32:08 | GET | meus-planos-api/categorias
2026-04-10 17:32:08 | GET | meus-planos-api/itens
2026-04-10 18:33:01 | GET | meus-planos-api/itens
rias
2026-04-10 18:33:01 | GET | meus-planos-api/itens
2026-04-10 18:33:03 | GET | meus-planos-api/itens
2026-04-10 18:33:03 | GET | meus-planos-api/categorias
2026-04-10 18:33:03 | GET | meus-planos-api/itens
2026-04-10 18:33:15 | GET | meus-planos-api/categorias
2026-04-10 18:33:15 | GET | meus-planos-api/itens
2026-04-10 18:33:19 | GET | meus-planos-api/categorias
2026-04-10 18:33:20 | GET | meus-planos-api/itens
rias
2026-04-10 18:33:20 | GET | meus-planos-api/itens
2026-04-10 18:36:41 | GET | meus-planos-api/categorias
2026-04-10 18:36:41 | GET | meus-planos-api/itens
2026-04-10 18:36:41 | GET | meus-planos-api/itens
2026-04-10 18:36:42 | GET | meus-planos-api/categorias
2026-04-10 18:36:43 | GET | meus-planos-api/itens
rias
2026-04-10 18:36:43 | GET | meus-planos-api/itens
2026-04-10 18:37:02 | GET | meus-planos-api/categorias
2026-04-10 18:37:03 | GET | meus-planos-api/itens
rias
2026-04-10 18:37:03 | GET | meus-planos-api/itens
2026-04-10 18:38:46 | OPTIONS | meus-planos-api/itens
2026-04-10 18:38:46 | POST | meus-planos-api/itens
2026-04-10 18:38:46 | GET | meus-planos-api/itens
2026-04-10 18:42:59 | GET | meus-planos-api/categorias
2026-04-10 18:43:01 | GET | meus-planos-api/itens
2026-04-10 18:43:01 | GET | meus-planos-api/categorias
2026-04-10 18:43:01 | GET | meus-planos-api/itens
2026-04-10 18:43:05 | GET | meus-planos-api/itens
rias
2026-04-10 18:43:05 | GET | meus-planos-api/itens
2026-04-10 18:43:07 | GET | meus-planos-api/categorias
2026-04-10 18:43:09 | GET | meus-planos-api/itens
rias
2026-04-10 18:43:09 | GET | meus-planos-api/itens
2026-04-10 18:56:55 | OPTIONS | meus-planos-api/itens
2026-04-10 18:56:55 | POST | meus-planos-api/itens
2026-04-10 18:56:55 | GET | meus-planos-api/itens
2026-04-10 18:57:02 | OPTIONS | meus-planos-api/itens/4
2026-04-10 18:57:02 | DELETE | meus-planos-api/itens/4
2026-04-10 18:57:02 | GET | meus-planos-api/itens
2026-04-10 18:57:08 | GET | meus-planos-api/categorias
2026-04-10 18:57:18 | GET | meus-planos-api/itens
2026-04-10 18:57:18 | GET | meus-planos-api/categorias
2026-04-10 18:57:18 | GET | meus-planos-api/itens
2026-04-10 18:57:21 | GET | meus-planos-api/itens
2026-04-10 18:57:21 | GET | meus-planos-api/categorias
2026-04-10 18:57:21 | GET | meus-planos-api/itens
2026-04-10 18:57:36 | GET | meus-planos-api/itens
2026-04-10 18:57:36 | GET | meus-planos-api/categorias
2026-04-10 18:57:36 | GET | meus-planos-api/itens
2026-04-10 18:57:54 | GET | meus-planos-api/categorias
2026-04-10 19:13:29 | GET | meus-planos-api/categorias
2026-04-10 19:20:47 | GET | meus-planos-api/categorias
2026-04-10 19:21:09 | GET | meus-planos-api/categorias
2026-04-10 19:21:12 | GET | meus-planos-api/itens
2026-04-10 19:21:12 | GET | meus-planos-api/categorias
