07-04-2026 16:27:27 | GET | cafeteria-api/pedidos
07-04-2026 16:27:27 | GET | cafeteria-api/pedidos
07-04-2026 16:27:28 | GET | cafeteria-api/pedidos
07-04-2026 16:29:04 | GET | cafeteria-api/pedidos
07-04-2026 16:29:04 | GET | cafeteria-api/pedidos
07-04-2026 16:30:07 | GET | cafeteria-api/pedidos
07-04-2026 16:32:39 | GET | cafeteria-api/pedidos
07-04-2026 16:33:42 | GET | cafeteria-api/pedidos
07-04-2026 16:34:48 | GET | cafeteria-api/pedidos
07-04-2026 16:35:31 | GET | cafeteria-api/pedidos
07-04-2026 16:35:52 | GET | cafeteria-api/pedidos
07-04-2026 16:36:18 | GET | cafeteria-api/pedidos
07-04-2026 16:38:03 | GET | cafeteria-api/pedidos
07-04-2026 16:38:37 | GET | cafeteria-api/pedidos
07-04-2026 16:40:32 | POST | cafeteria-api/pedidos
07-04-2026 16:42:37 | POST | cafeteria-api/pedidos
07-04-2026 16:44:37 | GET | cafeteria-api/pedidos
07-04-2026 16:46:57 | GET | cafeteria-api/pedidos
07-04-2026 16:46:57 | GET | cafeteria-api/pedidos
07-04-2026 16:46:58 | GET | cafeteria-api/pedidos
07-04-2026 16:46:58 | GET | cafeteria-api/pedidos
07-04-2026 16:46:58 | GET | cafeteria-api/pedidos
07-04-2026 16:47:53 | GET | cafeteria-api/pedidos
07-04-2026 16:48:41 | GET | cafeteria-api/pedidos
07-04-2026 16:52:04 | GET | cafeteria-api/pedidos
07-04-2026 16:52:14 | POST | cafeteria-api/pedidos
07-04-2026 16:52:19 | GET | cafeteria-api/pedidos
07-04-2026 16:54:15 | GET | cafeteria-api/pedidos
07-04-2026 16:54:30 | GET | cafeteria-api/pedidos
07-04-2026 16:54:56 | OPTIONS | cafeteria-api/pedidos/1
07-04-2026 16:54:56 | DELETE | cafeteria-api/pedidos/1
07-04-2026 16:55:02 | GET | cafeteria-api/pedidos
07-04-2026 16:55:18 | GET | cafeteria-api/pedidos
07-04-2026 16:56:09 | GET | cafeteria-api/pedidos
07-04-2026 16:56:10 | GET | cafeteria-api/pedidos
07-04-2026 16:56:17 | GET | cafeteria-api/pedidos
07-04-2026 16:59:43 | GET | cafeteria-api/pedidos
07-04-2026 17:01:52 | GET | cafeteria-api/produtos
07-04-2026 17:01:53 | GET | cafeteria-api/pedidos
07-04-2026 17:03:02 | GET | cafeteria-api/produtos
